m,y11,y12,y21,y22,y31,y32,y41,y42
0,667,628,781,731,988,935,819,703
504,601,570,705,659,862,813,750,632
1001.3,537,507,634,589,740,689,681,562
1457.9,476,448,568,522,628,578,618,498
1925.5,415,386,498,463,512,460,554,432
2380.3,354,326,432,393,400,349,490,367
2884.7,288,276,358,318,278,223,421,296
3358.6,226,219,288,247,160,105,355,228
3860,159,153,215,170,37,,285,156
3358.6,223,210,282,239,160,105,352,225
2884.7,285,268,348,306,273,220,417,291
2380.3,350,319,420,379,397,347,487,360
1925.5,410,378,485,442,509,458,549,424
1457.9,472,439,552,508,624,574,614,489
1001.3,533,497,618,574,739,686,678,552
504,598,560,692,642,861,810,745,621
0,665,623,770,715,987,934,816,692
